Functions Definition
Function: global.binarySearch@list[int]@int@int@int
Lexeme, Type, Token, LineNo, Size
array, list[int], NAME, 1, 8
high, int, NAME, 1, 8
low, int, NAME, 1, 8
mid, int, NAME, 4, 8
x, int, NAME, 1, 8



Function: global.main
Lexeme, Type, Token, LineNo, Size
array, list[int], NAME, 15, 8
result, int, NAME, 17, 8



Function: print@bool
Lexeme, Type, Token, LineNo, Size



Function: print@float
Lexeme, Type, Token, LineNo, Size



Function: print@int
Lexeme, Type, Token, LineNo, Size



Function: print@str
Lexeme, Type, Token, LineNo, Size



