Functions Definition
Function: global.bubbleSort@list[int]@int
Lexeme, Type, Token, LineNo, Size
array, list[int], NAME, 1, 8
i, int, NAME, 3, 8
j, int, NAME, 4, 8
n, int, NAME, 5, 8
swapped, bool, NAME, 7, 8
temp, int, NAME, 12, 8
x, int, NAME, 1, 8



Function: global.main
Lexeme, Type, Token, LineNo, Size
data, list[int], NAME, 20, 8
i, int, NAME, 24, 8
n, int, NAME, 21, 8



Function: print@bool
Lexeme, Type, Token, LineNo, Size



Function: print@float
Lexeme, Type, Token, LineNo, Size



Function: print@int
Lexeme, Type, Token, LineNo, Size



Function: print@str
Lexeme, Type, Token, LineNo, Size



